"Label","Power (kW)"
"05:00","0.22"
"","0.2"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.2"
"","0.2"
"","0.2"
"","0.21"
"","0.22"
"","0.2"
"","0.23"
"","0.2"
"","0.21"
"","0.21"
"","0.22"
"","0.2"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.19"
"","0.19"
"","0.22"
"","0.2"
"","0.21"
"","0.22"
"","0.19"
"","0.21"
"","0.22"
"","0.22"
"","0.31"
"","0.45"
"","0.5"
"","0.52"
"","0.65"
"","0.72"
"","0.83"
"","1.02"
"","1.07"
"","1.06"
"","1.16"
"","1.31"
"06:00","1.42"
"","1.91"
"","2.66"
"","2.85"
"","3.47"
"","4.65"
"","5.53"
"","6.69"
"","8.26"
"","9.15"
"","10.86"
"","12.57"
"","13.52"
"","15.14"
"","17.02"
"","19.05"
"","20.3"
"","22.6"
"","24.16"
"","26.39"
"","28.38"
"","30.27"
"","44.78"
"","94.69"
"","105.06"
"","131.72"
"","159.42"
"","173.72"
"","188.66"
"","202.92"
"","218.34"
"","233.17"
"","249.94"
"","264.35"
"","282.05"
"","298.6"
"","315.68"
"","334.17"
"","355.81"
"","376.85"
"","399.47"
"","422.09"
"","444.86"
"","469.42"
"","491.14"
"","515"
"","536.28"
"","560.22"
"","580.4"
"","599.87"
"","618.13"
"","639.41"
"","660.91"
"","684.17"
"","711.82"
"","738.6"
"","767.32"
"","799.08"
"","828.19"
"","855.95"
"07:00","882.92"
"","908.33"
"","932.87"
"","958.58"
"","978.46"
"","997.77"
"","1015.1"
"","1030.8"
"","1045.39"
"","1061.67"
"","1079.53"
"","1096.47"
"","1114.07"
"","1130.03"
"","1149.17"
"","1169.14"
"","1188.77"
"","1207.41"
"","1226.79"
"","1246.36"
"","1265.82"
"","1286.76"
"","1306.96"
"","1323.79"
"","1344.23"
"","1367.45"
"","1390.18"
"","1410.41"
"","1434.72"
"","1453.68"
"","1472.84"
"","1492.2"
"","1514.4"
"","1535.04"
"","1555.9"
"","1582.44"
"","1608.47"
"","1632.09"
"","1645.94"
"","1668.27"
"","1690.35"
"","1713.81"
"","1736.25"
"","1763.15"
"","1777.77"
"","1799.48"
"","1818.4"
"","1838.62"
"","1856.88"
"","1876.07"
"","1893.64"
"","1913.2"
"","1932.39"
"","1950.63"
"","1967.83"
"","1989.05"
"","2008.56"
"","2047.65"
"","2063.96"
"","2066.92"
"08:00","2087.21"
"","2108.3"
"","2131.68"
"","2147.05"
"","2164.58"
"","2177.44"
"","2199.59"
"","2217.53"
"","2233.41"
"","2249.3"
"","2265.6"
"","2281.87"
"","2298.47"
"","2315.13"
"","2330.18"
"","2347.23"
"","2362.39"
"","2378.16"
"","2364.52"
"","2413.3"
"","2398.34"
"","2414.65"
"","2429.75"
"","2443.28"
"","2455.09"
"","2503.04"
"","2518.59"
"","2534.95"
"","2551.75"
"","2563.94"
"","2581.06"
"","2596.55"
"","2613.09"
"","2628.95"
"","2643.81"
"","2657.49"
"","2676.6"
"","2690.81"
"","2705.58"
"","2718.99"
"","2733.49"
"","2745.75"
"","2762.08"
"","2774.85"
"","2786.57"
"","2801.23"
