"Label","Power (kW)"
"05:00","0.21"
"","0.21"
"","0.21"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.22"
"","0.22"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.22"
"","0.2"
"","0.2"
"","0.22"
"","0.21"
"","0.2"
"","0.21"
"","0.22"
"","0.21"
"","0.22"
"","0.21"
"","0.22"
"","0.21"
"","0.2"
"","0.23"
"","0.22"
"","0.23"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.23"
"","0.22"
"","0.22"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.22"
"","0.27"
"","0.44"
"","0.5"
"","0.48"
"","0.53"
"","0.67"
"","0.78"
"","0.88"
"","0.9"
"","0.82"
"","0.85"
"","1.05"
"06:00","1.3"
"","1.55"
"","1.95"
"","2.58"
"","2.85"
"","3.69"
"","4.59"
"","5.64"
"","6.64"
"","7.73"
"","8.83"
"","9.79"
"","11.32"
"","12.8"
"","14.65"
"","15.2"
"","17.16"
"","19.33"
"","21.81"
"","23.34"
"","23.68"
"","37.8"
"","86.95"
"","94.56"
"","120.04"
"","146.72"
"","160.38"
"","173.93"
"","188.84"
"","203.87"
"","219.08"
"","236.23"
"","250.74"
"","266.23"
"","284.94"
"","314.59"
"","334.79"
"","354.7"
"","375.14"
"","390.06"
"","415.27"
"","443.16"
"","473.96"
"","497.41"
"","520.35"
"","542.38"
"","563.29"
"","585.21"
"","606.53"
"","626.95"
"","646.35"
"","668.58"
"","694.06"
"","720.56"
"","745.15"
"","771.43"
"","797.59"
"","830.86"
"","859.37"
"","885.99"
"07:00","912.82"
"","939.39"
"","967.99"
"","993.41"
"","1015.18"
"","1038.01"
"","1060.19"
"","1080.66"
"","1097.21"
"","1111.01"
"","1123.42"
"","1141.92"
"","1152.64"
"","1169.07"
"","1185.43"
"","1201.06"
"","1219.72"
"","1235.16"
"","1257.97"
"","1276.38"
"","1289.32"
"","1317.05"
"","1339.34"
"","1361.22"
"","1378.37"
"","1403.86"
"","1410.74"
"","1429"
"","1453.48"
"","1476.38"
"","1496.57"
"","1523.51"
"","1539.59"
"","1565.46"
"","1610.19"
"","1616.71"
"","1654.48"
"","1626.42"
"","1693.78"
"","1722.03"
"","1776.44"
"","1794.94"
"","1815.09"
"","1843.4"
"","1865.21"
"","1887.35"
"","1914.28"
"","1945.74"
"","1972.56"
"","2004.11"
"","1957.02"
"","1941.6"
"","1889.92"
"","2042.1"
"","2043.85"
