"Label","Power (kW)"
"05:00","0.22"
"","0.23"
"","0.23"
"","0.23"
"","0.22"
"","0.22"
"","0.23"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.21"
"","0.23"
"","0.2"
"","0.22"
"","0.21"
"","0.21"
"","0.23"
"","0.23"
"","0.2"
"","0.24"
"","0.21"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.22"
"","0.22"
"","0.22"
"","0.23"
"","0.23"
"","0.23"
"","0.24"
"","0.2"
"","0.22"
"","0.22"
"","0.21"
"","0.23"
"","0.19"
"","0.22"
"","0.22"
"","0.22"
"","0.22"
"","0.24"
"","0.22"
"","0.21"
"","0.28"
"","0.48"
"","0.48"
"","0.54"
"","0.56"
"","0.72"
"","0.78"
"","0.97"
"","1.13"
"","1.2"
"","1.32"
"06:00","1.61"
"","1.8"
"","2.26"
"","2.73"
"","3.67"
"","4.47"
"","5.42"
"","6.67"
"","8.3"
"","9.4"
"","10.8"
"","12.58"
"","13.54"
"","15.58"
"","17.39"
"","20.28"
"","21.86"
"","24.16"
"","25.18"
"","27.53"
"","29.53"
"","45.91"
"","99.44"
"","110.44"
"","139.74"
"","168.22"
"","184.51"
"","197.49"
"","213.86"
"","229.24"
"","245.27"
"","262.62"
"","278.69"
"","294.32"
"","311.08"
"","330.72"
"","349.94"
"","372.97"
"","396.59"
"","419.22"
"","442.6"
"","465.62"
"","490.41"
"","511.76"
"","533.25"
"","553.46"
"","571.68"
"","592.49"
"","610.25"
"","628.07"
"","648.5"
"","672.57"
"","698.72"
"","725.54"
"","757.27"
"","787.58"
"","816.39"
"","847.04"
"","876.91"
"","901.59"
"07:00","932.56"
"","960.83"
"","983.17"
"","1005.41"
"","1021.95"
"","1039.62"
"","1064.38"
"","1088.72"
"","1108.09"
"","1135.91"
"","1158.56"
"","1175.28"
"","1193.76"
"","1206.86"
"","1222.28"
"","1235.49"
"","1250.85"
"","1268.95"
"","1276.88"
"","1295.94"
"","1312.26"
"","1329.05"
"","1340.02"
"","1371.14"
"","1390.91"
"","1405.53"
"","1431.4"
"","1452.84"
"","1482.09"
"","1501.58"
"","1526.32"
"","1549.32"
"","1572.33"
"","1602.71"
"","1622.29"
"","1656.82"
"","1667.73"
"","1686.42"
"","1716.61"
"","1738.98"
"","1759.8"
"","1782.45"
"","1795.3"
"","1816.88"
"","1835.09"
"","1866.53"
"","1883.33"
"","1902.72"
"","1921.58"
"","1937.24"
"","1959.69"
"","1976.43"
"","1992.73"
"","2012.1"
"","2030.09"
"","2045.38"
"","2060.94"
"","2064.29"
"","2078.99"
"","2095.54"
"08:00","2114.91"
"","2148.63"
"","2160.67"
"","2186.38"
"","2204.39"
"","2222.09"
"","2236.59"
"","2253.71"
"","2257.38"
"","2296.67"
"","2299.11"
"","2328.77"
"","2343.95"
"","2361.67"
"","2379.59"
"","2381.2"
"","2413.6"
"","2427.29"
"","2441.74"
"","2462.1"
"","2483.8"
"","2503.53"
"","2518.12"
"","2515.64"
"","2531.72"
"","2553.87"
"","2578.9"
"","2600.21"
"","2605.36"
"","2638.2"
"","2657.58"
"","2656.93"
"","2696.02"
"","2715.91"
