"Label","Power (kW)"
"05:00","0.2"
"","0.22"
"","0.22"
"","0.22"
"","0.23"
"","0.2"
"","0.21"
"","0.21"
"","0.22"
"","0.22"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.22"
"","0.23"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.23"
"","0.21"
"","0.22"
"","0.21"
"","0.24"
"","0.22"
"","0.21"
"","0.23"
"","0.21"
"","0.23"
"","0.22"
"","0.23"
"","0.23"
"","0.22"
"","0.21"
"","0.22"
"","0.22"
"","0.22"
"","0.22"
"","0.23"
"","0.23"
"","0.23"
"","0.21"
"","0.22"
"","0.23"
"","0.23"
"","0.44"
"","0.53"
"","0.67"
"","1.02"
"","1.03"
"","1.05"
"","1.16"
"","1.3"
"","1.59"
"","1.75"
"","1.79"
"","1.75"
"","2"
"06:00","2.06"
"","2.86"
"","3.17"
"","3.73"
"","4.19"
"","5.5"
"","8.98"
"","13.04"
"","19.79"
"","24.25"
"","25"
"","25.68"
"","27.87"
"","33.4"
"","38.08"
"","40.56"
"","41.64"
"","39.16"
"","36.35"
"","35.7"
"","36.49"
"","39.11"
"","51.6"
"","70.58"
"","71.86"
"","73.46"
"","94.7"
"","107.1"
"","112.76"
"","116.19"
"","123.6"
"","136.18"
"","138.15"
"","148.64"
"","161.64"
"","172.74"
"","237.91"
"","340.46"
"","419.7"
"","475.66"
"","523.7"
"","538.69"
"","532.88"
"","524.69"
"","530.07"
"","532.98"
"","548.88"
"","552.67"
"","574.06"
"","579.14"
"","610.71"
"","663.82"
"","701.79"
"","720.89"
"","765.93"
"","809.22"
"","835.73"
"","854.88"
"","878.75"
"","859.31"
"07:00","857.69"
"","901.17"
"","879.55"
"","847.35"
"","850.68"
"","879.88"
"","875.97"
"","903.83"
"","916.42"
"","941.12"
"","969.01"
"","1037.89"
"","1092.95"
"","1096.2"
"","1161.28"
"","1179.54"
"","1196.21"
"","1208.99"
"","1141.66"
"","1067.26"
"","1073.39"
"","955.59"
"","637.73"
"","702.09"
"","902.58"
"","1012.72"
"","936.09"
"","841.09"
"","1238.01"
"","1453.39"
"","1568.07"
"","1521.24"
"","1127.09"
"","1047.51"
"","1360.73"
"","1454.77"
"","1434.18"
"","1129.73"
"","800.75"
"","599.56"
"","599.63"
"","847.02"
"","688.04"
"","753.83"
"","1060.39"
"","1489.96"
"","1829.44"
"","1953.05"
"","1907.96"
"","1857.33"
"","2075.95"
"","2170.02"
"","1446.86"
"","1428"
"","1182.1"
"","723.8"
"","659.1"
"","722.81"
"","748.48"
"","1163.38"
"08:00","1348.49"
"","1238.95"
"","1170.75"
"","1123.42"
"","1093.54"
"","1093.05"
"","1156.69"
"","1354.4"
"","1667.75"
"","2126.55"
"","1956.62"
"","1620.44"
"","2177.31"
"","2330.71"
"","2365.91"
"","2345.88"
"","2369.4"
"","2349.11"
"","2372.85"
"","2411.42"
"","2338.29"
"","1322.15"
"","1246.87"
"","1623.99"
"","1682.26"
"","1808.62"
"","1586.32"
"","2140.58"
"","2593.39"
"","2650.53"
"","2626.07"
"","2645.88"
"","2658.96"
"","2678.28"
"","2658.81"
"","2584.59"
"","2671.11"
"","2569.51"
"","2762.19"
"","2627.14"
"","1948.85"
"","2256.77"
"","2729.97"
"","2855.11"
"","2880.15"
"","2890.13"
"","2888.04"
"","2909.05"
"","2872.98"
"","2901.67"
"","2975.09"
"","2948.68"
"","2958.21"
"","2870.91"
"","2956.7"
"","2970.97"
"","3043.1"
"","3046.44"
"","3110.09"
"","3011.25"
"09:00","2781.11"
"","3092.02"
"","3112.73"
"","3075.39"
"","3114.14"
"","3106.2"
"","3174"
"","3126.86"
"","3129.38"
"","3069.01"
"","3166.96"
"","3144.93"
"","3061.62"
"","2752.28"
"","3049.38"
"","3372.58"
"","3338.06"
"","3037.24"
"","3030.64"
"","2850.07"
"","3090.26"
"","3262.37"
"","3383.06"
"","3274.48"
"","2764.04"
"","3415.95"
"","3349.4"
"","3488.27"
"","3536.59"
"","3578.15"
"","3621.46"
"","3617.09"
"","3414.81"
"","3637.47"
"","3299.31"
"","3410.61"
"","3541.51"
"","3532.09"
"","3507.95"
"","3647.98"
"","3503.71"
"","3481.92"
"","3720.49"
"","3702.15"
"","3707.04"
"","3746.62"
"","3737.66"
"","3788.18"
"","3793.17"
"","3806.33"
"","3734.57"
"","3795.53"
"","3747.78"
"","3573.69"
"","3815.08"
"","3864.37"
"","3802.15"
"","3713.09"
"","2490.2"
"","2437.49"
"10:00","3155.98"
"","3267.96"
"","3854.38"
"","3908.75"
"","3796.81"
"","2880.31"
"","3498.49"
"","3777.48"
"","4006.43"
"","3895.9"
"","3856.69"
"","3961.29"
"","3390.81"
"","2634.22"
"","2876.37"
"","2815.61"
"","2586.47"
"","3213.74"
"","3072.77"
"","3287.07"
"","3365.47"
"","3298.08"
"","2638.39"
"","3002.28"
"","1981.25"
"","1720.51"
"","2270.58"
"","2804.23"
"","3416.08"
"","4070.9"
"","2941.16"
"","2906.29"
"","2749.81"
"","2489.09"
"","2012.43"
"","1899.17"
"","1784.54"
"","1936.67"
"","2251.73"
"","2921.2"
"","2895.26"
"","2414.89"
"","2533.94"
"","2595.55"
"","1752.32"
"","1547.33"
"","1649.8"
"","2120.61"
"","2382.3"
"","1607.51"
"","2138.29"
"","2717.39"
"","3372.5"
"","4056.33"
"","3096.67"
"","1970.22"
"","1937.34"
"","2143.14"
"","2542.11"
"","3167.81"
"11:00","2532.89"
"","2904.45"
"","3681.55"
"","4216.08"
"","4446.71"
"","4479.37"
"","3952.51"
"","2423.99"
"","2628.98"
"","2844.12"
"","2765.27"
"","2607.36"
"","3057.22"
"","3598.75"
"","3914.08"
"","4304.87"
"","4279.79"
"","3936.41"
"","3645.69"
"","3585.83"
"","3415.81"
"","3428.86"
"","3689.23"
"","4048.98"
"","4208.24"
"","4467.79"
"","4478.94"
"","4449.66"
"","4471.41"
"","4446.75"
"","4208.89"
"","4088.57"
"","4505.2"
"","4570.2"
"","4603.48"
"","4503.63"
"","3507.6"
"","1798.4"
"","1588.59"
"","2111.37"
"","2729.48"
"","3553.62"
"","3674.18"
"","2677.06"
"","3087.22"
"","3669.18"
"","3190.62"
"","2562.64"
"","1696.14"
"","1461.07"
"","1854.48"
"","2348.48"
"","2247.85"
"","2420.71"
"","2676.89"
"","2983.21"
"","3746.18"
"","4057.23"
"","2199.31"
"","2128.1"
"12:00","2357.69"
"","3021.96"
"","3391.43"
"","3847.15"
"","4327"
"","4521.76"
"","4220.43"
"","4074.71"
"","3563.05"
"","3382.11"
"","2875.04"
"","1659.63"
"","2239.02"
"","3013.62"
"","3501.08"
"","2555.97"
"","2086.08"
"","2025.7"
"","2012.2"
"","2041.76"
"","2131.65"
"","2390.46"
"","2091.64"
"","2159.95"
"","2635.85"
"","2676.11"
"","2986.68"
"","3405.82"
"","4038.39"
"","4123.34"
"","4261.71"
"","3412.14"
"","3446.37"
"","2245.46"
"","2202.54"
"","2485.46"
"","3133.36"
"","3866.38"
"","3508.16"
"","3776.66"
"","4032.31"
"","3917.41"
"","4156.49"
"","4461.05"
"","4437.36"
"","3812.09"
"","4149.72"
"","4327.18"
"","2211.18"
"","2296.21"
"","2431.77"
"","2476.42"
"","2179.04"
"","2386.65"
"","2921.55"
"","3495.11"
"","3960.85"
"","4297.18"
"","4433"
"","4304.71"
"13:00","3654.49"
"","2138.15"
"","2416.63"
"","2790.37"
"","2754.95"
"","2962.16"
"","3281.26"
"","3612.41"
"","3645.54"
"","3715.79"
"","3038.82"
"","3056.5"
"","3432.64"
"","3123.36"
"","2199.37"
"","2265.07"
"","2772.58"
"","3084.43"
"","3759.59"
"","4114.88"
"","4087.55"
"","4126.05"
"","4201.84"
"","4041.44"
"","2354.1"
"","1932.74"
"","2056.92"
"","2061.52"
"","1850.71"
"","1840.82"
"","1821.73"
"","1952.29"
"","2202.71"
"","2856.41"
"","3484.66"
"","3959.59"
"","3864.52"
"","3986.99"
"","3711.58"
"","3655.99"
"","3936.44"
"","4012.24"
"","3973.72"
"","4000.59"
"","4050.74"
"","4036.59"
"","3999.08"
"","2853.09"
"","1839.37"
"","1739.59"
"","1718.07"
"","1662.4"
"","1689.18"
"","1671.52"
"","1639.07"
"","1698.11"
"","1994.96"
"","2347.64"
"","2682.83"
"","3310.14"
"14:00","3619.26"
"","3760.87"
"","3717.8"
"","3719.92"
"","3698.96"
"","3681.01"
"","3671.47"
"","3646.24"
"","3637.97"
"","3650.73"
"","3637.61"
"","3656.47"
"","3683.15"
"","3709.12"
"","3723.86"
"","3711.46"
"","3677.54"
"","3454.4"
"","2315.99"
"","1690.67"
"","1572.93"
"","1520.49"
"","1447.07"
"","1389.1"
"","1389.77"
"","1447.8"
"","1952.06"
"","2587.41"
"","3231.71"
"","3426.5"
"","3409.42"
"","3391.71"
"","3368.33"
"","3385.99"
"","3343.84"
"","3343.59"
"","3350.78"
"","3328.65"
"","3307.25"
"","3306.11"
"","3320.78"
"","3321.78"
"","3321.56"
"","3300.67"
"","3264.8"
"","3244.87"
"","3208.08"
"","3117.6"
"","2950.81"
"","3102.9"
"","3096.65"
"","2312.43"
"","1275.51"
"","1212.52"
"","1212.94"
"","1258.6"
"","1594.75"
"","2188.17"
"","2810.63"
"","3079.58"
"15:00","3115.08"
"","3090"
"","3066.57"
"","3061.05"
"","3030.85"
"","2985"
"","2727.02"
"","2651.35"
"","2448.88"
"","2640.06"
"","2764.65"
"","2743.17"
"","2712.59"
"","2649.05"
"","1728.45"
"","1682.75"
"","2156.03"
"","2672.65"
"","2757.92"
"","2769.65"
"","2779.26"
"","2786.48"
"","2766.46"
"","2759.36"
"","2756.42"
"","2728"
"","2655.33"
"","2085.73"
"","1030.91"
"","718.81"
"","729.06"
"","845.25"
"","1010.54"
"","985.23"
"","1011.32"
"","988.31"
"","1014.35"
"","975.01"
"","1405.14"
"","1485.26"
"","1593.63"
"","2060.93"
"","2264.25"
"","2344.5"
"","2338.55"
"","2284.4"
"","2228.13"
"","2169.81"
"","2093.37"
"","1988.03"
"","1945.46"
"","1840.24"
"","1816.55"
"","1810.71"
"","1795.18"
"","1445.47"
"","1333.12"
"","1679.32"
"","1707.76"
"","1713.92"
"16:00","1671.09"
"","1728.91"
"","1703.81"
"","1659.16"
"","1000.35"
"","1237.57"
"","1700.66"
"","1801.12"
"","1750.8"
"","1638.24"
"","1642.84"
"","1643.63"
"","1711.88"
"","1728.26"
"","1670.02"
"","1324.42"
"","1176.3"
"","1398.76"
"","1361.45"
"","1046.35"
"","794.6"
"","731.77"
"","1059.46"
"","655.4"
"","561.42"
"","527.85"
"","494.75"
"","517.23"
"","511.73"
"","496.46"
"","485.03"
"","488.87"
"","475.41"
"","485.85"
"","539.92"
"","480.04"
"","856.96"
"","920.95"
"","971.46"
"","975.94"
"","944.95"
"","918.03"
"","902.39"
"","913.57"
"","870.19"
"","848.08"
"","840.84"
"","834.28"
"","824.29"
"","797.87"
"","759.74"
"","714.32"
"","692.31"
"","649.2"
"","618.44"
"","595.02"
"","576.55"
"","562.07"
"","551.05"
"","536.34"
"17:00","518.2"
"","501.36"
"","481.96"
"","465.58"
"","448.25"
"","431.83"
"","408.24"
"","386.08"
"","366.83"
"","346.15"
"","321.21"
"","297.18"
"","273.41"
"","253.52"
"","238.01"
"","224.04"
"","211.92"
"","198.33"
"","184.82"
"","173.13"
"","162.22"
"","152.47"
"","142.04"
"","129.85"
"","116.94"
"","106.51"
"","97.11"
"","88.06"
"","78.63"
"","70.02"
"","62.63"
"","55.71"
"","48.94"
"","37.63"
"","32"
"","19.14"
"","18.98"
"","15.17"
"","8.83"
"","11.08"
"","5.17"
"","1.34"
"","0.85"
"","0.93"
"","0.62"
"","0.32"
"","0.22"
"","0.22"
"","0.18"
"","0.15"
"","0.15"
"","0.15"
"","0.12"
"","0.17"
"","0.17"
"","0.16"
"","0.21"
"","0.17"
"","0.17"
"","0.18"
"18:00","0.22"
"","0.24"
"","0.2"
"","0.19"
"","0.18"
"","0.16"
"","0.17"
"","0.19"
"","0.19"
"","0.19"
"","0.19"
"","0.19"
"","0.2"
"","0.21"
"","0.2"
"","0.2"
"","0.21"
"","0.2"
"","0.19"
"","0.2"
"","0.2"
"","0.19"
"","0.19"
"","0.19"
"","0.19"
"","0.18"
"","0.2"
"","0.21"
"","0.19"
"","0.2"
"","0.2"
"","0.2"
"","0.21"
"","0.21"
"","0.21"
"","0.2"
"","0.19"
"","0.2"
"","0.2"
"","0.2"
"","0.2"
"","0.21"
"","0.2"
"","0.19"
"","0.21"
"","0.2"
"","0.21"
"","0.2"
"","0.2"
"","0.18"
"","0.19"
"","0.19"
"","0.19"
"","0.2"
"","0.2"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.23"
"19:00","0.21"
