"Label","Power (kW)"
"05:00","0.23"
"","0.23"
"","0.22"
"","0.22"
"","0.22"
"","0.21"
"","0.22"
"","0.22"
"","0.21"
"","0.2"
"","0.22"
"","0.21"
"","0.23"
"","0.21"
"","0.22"
"","0.23"
"","0.22"
"","0.21"
"","0.2"
"","0.21"
"","0.22"
"","0.22"
"","0.23"
"","0.23"
"","0.21"
"","0.22"
"","0.22"
"","0.22"
"","0.21"
"","0.21"
"","0.24"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.22"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.22"
"","0.22"
"","0.22"
"","0.27"
"","0.27"
"","0.41"
"","0.51"
"","0.57"
"","0.61"
"","0.71"
"","0.83"
"","0.93"
"","1.08"
"","1.12"
"","1.21"
"","1.36"
"","1.51"
"","1.98"
"","2.17"
"06:00","2.77"
"","3.7"
"","4.34"
"","5.59"
"","6.33"
"","7.96"
"","9.42"
"","10.51"
"","11.71"
"","13.47"
"","14.95"
"","16.69"
"","18.56"
"","20.19"
"","22.58"
"","24.46"
"","25.99"
"","28"
"","29.66"
"","31.66"
"","44.73"
"","62.69"
"","95.63"
"","118.4"
"","136.22"
"","152.59"
"","144.52"
"","151.49"
"","156.89"
"","163.39"
"","168.24"
"","173.35"
"","183.94"
"","193.2"
"","208.28"
"","284.46"
"","353.73"
"","397.55"
"","367.08"
"","370.8"
"","486.82"
"","496.79"
"","523.04"
"","548.07"
"","564.42"
"","588.63"
"","610.47"
"","622.82"
"","632.9"
"","647.24"
"","668.54"
"","683.98"
"","719.56"
"","739.99"
"","736.22"
"","779.11"
"","766.79"
"","778.74"
"","848.65"
"","903.7"
"07:00","942.33"
"","975.03"
"","1007.69"
"","1040.74"
"","1073.31"
"","1097.41"
"","1113.99"
"","1122.66"
"","1122.53"
"","1134.64"
"","1148.63"
"","1158.99"
"","1178.87"
"","1199.54"
"","1212.28"
"","1221.67"
"","1232.81"
"","1247"
"","1259.46"
"","1282.23"
"","1306.04"
"","1328.67"
"","1350.5"
"","1369.12"
"","1384.19"
"","1399.74"
"","1417.81"
"","1439.76"
"","1455.68"
"","1478.42"
"","1499.87"
"","1523.25"
"","1542.41"
"","1564.52"
"","1586.41"
"","1610.63"
"","1631.04"
"","1655.05"
"","1678.7"
"","1697.09"
"","1723.52"
"","1751.41"
"","1771.65"
"","1791.01"
"","1809.05"
"","1825.93"
"","1841.9"
"","1863.74"
"","1883.68"
"","1900.66"
"","1917.65"
"","1933.74"
"","1953.76"
"","1972.39"
"","1992.85"
"","2017.59"
"","2027.39"
"","2044.48"
"","2065.45"
"","2090.47"
"08:00","2108.4"
"","2126.41"
"","2144.22"
"","2160.79"
"","2176.23"
"","2194.7"
"","2212.49"
"","2228.81"
"","2246.13"
"","2261.23"
"","2278.69"
"","2293"
"","2308.26"
"","2327.45"
"","2345.6"
"","2359.57"
"","2377.12"
"","2393.76"
"","2410.73"
"","2425.32"
"","2440.18"
"","2456.13"
"","2471.75"
"","2487.46"
"","2498.98"
"","2513.97"
"","2533.14"
"","2550.79"
"","2566.92"
"","2581.94"
"","2606.45"
"","2620.84"
"","2634.34"
"","2647.14"
"","2668.88"
"","2676.54"
"","2687.79"
"","2712.07"
"","2728.16"
"","2744.78"
"","2759.16"
"","2775.36"
"","2778.13"
"","2773.16"
"","2674.09"
"","2695.57"
"","2719.9"
"","2441.58"
"","2533.72"
"","2519.62"
"","2360.16"
"","2429.55"
"","2414.67"
"","2685.14"
"","2857.64"
"","2892.66"
"","2950.48"
"","2776.32"
"","2887.3"
"","3082.02"
"09:00","3177.94"
"","3173.5"
"","3249"
"","3271.09"
"","3271.21"
"","3233.46"
"","3187.7"
"","3090.05"
"","3261.34"
"","3332.35"
