"Label","Power (kW)"
"05:00","0.22"
"","0.21"
"","0.23"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.2"
"","0.22"
"","0.22"
"","0.23"
"","0.2"
"","0.22"
"","0.21"
"","0.21"
"","0.21"
"","0.23"
"","0.21"
"","0.22"
"","0.21"
"","0.2"
"","0.2"
"","0.23"
"","0.21"
"","0.23"
"","0.21"
"","0.23"
"","0.22"
"","0.21"
"","0.22"
"","0.22"
"","0.2"
"","0.21"
"","0.22"
"","0.22"
"","0.2"
"","0.22"
"","0.22"
"","0.22"
"","0.22"
"","0.22"
"","0.21"
"","0.2"
"","0.23"
"","0.31"
"","0.48"
"","0.56"
"","0.62"
"","0.67"
"","0.75"
"","0.81"
"","0.89"
"","0.93"
"","1.1"
"","1.38"
"","1.51"
"","2.07"
"","2.28"
"","2.71"
"","3.08"
"06:00","4.69"
"","6.33"
"","8.71"
"","10.62"
"","12.63"
"","15.23"
"","17.62"
"","20.28"
"","22.39"
"","25.11"
"","28.33"
"","31.72"
"","34.99"
"","38.12"
"","42.24"
"","47.2"
"","53.37"
"","59.25"
"","64.13"
"","69.91"
"","75.88"
"","80.81"
"","86.68"
"","93.68"
"","97.79"
"","141.06"
"","174.65"
"","240.02"
"","253.24"
"","258.57"
"","256.57"
"","238.04"
"","216.67"
"","221.64"
"","227.79"
"","241.14"
"","254.53"
"","270.97"
"","281.36"
"","287.99"
"","295.68"
"","298.64"
"","301.6"
"","298.59"
"","301.58"
"","301.11"
"","305.56"
"","306.74"
"","298.41"
"","287.3"
"","299.2"
"","289.12"
"","287.44"
"","289.19"
"","298.07"
"","307.31"
"","302.94"
"","305.97"
"","315.82"
"","331.48"
"07:00","354.33"
"","372.39"
"","383.32"
"","391.38"
"","408"
"","410.52"
"","428.91"
"","446.65"
"","496.92"
"","586.67"
"","585.11"
"","574.31"
"","607.88"
"","639.54"
"","711.51"
"","784.56"
"","893.27"
"","937.32"
"","911.32"
"","862.04"
"","854.86"
"","816.96"
"","891.85"
"","967.05"
"","996.9"
"","872.85"
"","765.39"
"","670.34"
"","567.2"
"","579.79"
"","587.49"
"","566.68"
"","603.72"
"","656.81"
"","844.73"
"","1050.39"
"","1188.88"
"","1361.17"
"","1541.45"
"","1616.14"
"","1588.14"
"","1577.78"
"","1543.42"
"","1690.02"
"","1758.98"
"","1671.32"
"","1541.86"
"","1198.84"
"","922.81"
"","925.11"
"","943.91"
"","1066.36"
"","1485.71"
"","1872.12"
"","1708.06"
"","1733"
"","1719.96"
"","1595.3"
"","1393.63"
"","1521.47"
"08:00","1659.01"
"","1769.51"
"","1822.75"
"","1904.29"
"","1852.9"
"","1945.75"
"","2066.59"
"","2185.51"
"","2190.9"
"","2245.77"
"","2154.04"
"","2184.06"
"","2253.47"
"","2307.43"
"","2142.94"
"","1896.36"
"","1857.81"
"","1650.35"
"","1944.68"
"","2018.85"
"","1935.57"
"","1999.03"
"","1990.96"
"","1827.74"
"","1887.49"
"","1796.68"
"","2078.78"
"","2054.93"
"","2168.24"
"","2260.2"
"","2207.35"
"","2317.88"
"","2281.73"
"","2416.71"
"","2363.93"
"","2311.61"
"","2416.84"
"","2461.26"
"","2453.89"
"","2429.77"
"","2319.63"
"","2462.86"
"","2592.89"
"","2475.53"
"","2362.81"
"","2398.34"
"","2590.44"
"","2529.73"
"","2272.2"
"","2331.41"
"","2362.72"
"","2097.88"
"","2314.92"
"","2129.13"
"","2003.49"
"","2032.6"
"","1888"
"","1756.61"
"","1677.11"
"","1753.45"
"09:00","1826.88"
"","1986.76"
"","1973.72"
"","1790.97"
"","1946.33"
"","2086.48"
"","2226.65"
"","2221.72"
"","2314.17"
"","2410.17"
"","2287.76"
"","2130.54"
"","2150.24"
"","2200.95"
"","2311.09"
"","2280.04"
"","2328.51"
"","2325.25"
"","2130.54"
"","2084.04"
"","2042.12"
"","1780.82"
"","1637.79"
"","1720.4"
"","1722.93"
"","1781.28"
"","1790.78"
"","1737.07"
"","1734.24"
"","1872.99"
"","2036.73"
"","2089.95"
"","2327.75"
"","2493.48"
"","2387.48"
"","2493.93"
"","2294.02"
"","2193.78"
"","2169.35"
"","2174.18"
"","2190.19"
"","2064.2"
"","1965.48"
"","1825.18"
"","1869.84"
"","1739.96"
"","1590.01"
"","1563.72"
"","1727.62"
"","1783.55"
"","1703.84"
"","1742.35"
"","1771.65"
"","1839.05"
"","1776.86"
"","1962.56"
"","1974.14"
"","2197.1"
"","2247.7"
"","2220.58"
"10:00","2256.51"
"","2273.62"
"","2193.31"
"","2053.12"
"","1904.06"
"","1749.62"
"","1790.98"
"","1887.49"
"","1910.52"
"","1889.13"
"","1824.47"
"","1756.39"
